Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
191;23629;"AI Magazine";journal;"07384602";0,486;Q3;87;51;110;1730;322;100;3,42;33,92;United States;Northern America;"John Wiley and Sons Inc.";"1984-1986, 1989-2023";"Artificial Intelligence (Q3)";"Computer Science"
192;21101022415;"Spatial Information Research";journal;"23663286, 23663294";0,484;Q3;24;71;200;2815;494;200;2,27;39,65;Singapore;Asiatic Region;"Springer Science and Business Media B.V.";"2016-2023";"Computers in Earth Sciences (Q2); Geography, Planning and Development (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science; Earth and Planetary Sciences; Social Sciences"
193;21101144505;"Data and Policy";journal;"26323249";0,479;Q3;10;38;94;2038;202;94;2,09;53,63;United Kingdom;Western Europe;"Cambridge University Press";"2020-2023";"Computer Science (miscellaneous) (Q2); Public Administration (Q2); Social Sciences (miscellaneous) (Q2); Artificial Intelligence (Q3)";"Computer Science; Social Sciences"
194;12962;"Journal of Intelligent Systems";journal;"03341860, 2191026X";0,479;Q3;31;80;309;2684;912;308;3,04;33,55;Germany;Western Europe;"Walter de Gruyter GmbH";"1991-2002, 2004-2023";"Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3)";"Computer Science"
195;21101124068;"Iraqi Journal for Computer Science and Mathematics";journal;"27887421, 29580544";0,471;Q3;11;64;45;2058;196;45;5,14;32,16;Iraq;Middle East;"College of Education, Al-Iraqia University";"2020-2023";"Computer Graphics and Computer-Aided Design (Q2); Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Computer Networks and Communications (Q3)";"Computer Science"
196;21100873335;"Journal of Control and Decision";journal;"23307714, 23307706";0,465;Q3;21;127;123;4207;245;123;1,84;33,13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2023";"Control and Systems Engineering (Q2); Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Control and Optimization (Q3); Human-Computer Interaction (Q3); Information Systems (Q3); Signal Processing (Q3)";"Computer Science; Engineering; Mathematics"
197;26138;"Parallel Computing";journal;"01678191";0,460;Q3;71;33;146;1149;312;141;2,47;34,82;Netherlands;Western Europe;"Elsevier B.V.";"1984-2023";"Computer Graphics and Computer-Aided Design (Q2); Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
198;21101044881;"International Journal of Serious Games";journal;"23848766";0,441;Q3;12;31;84;1526;150;71;1,91;49,23;Italy;Western Europe;"Serious Games Society";"2019-2023";"Computer Graphics and Computer-Aided Design (Q2); Education (Q2); Applied Mathematics (Q3); Artificial Intelligence (Q3); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science; Mathematics; Social Sciences"
199;21101101298;"Advanced Control for Applications: Engineering and Industrial Systems";journal;"25780727";0,439;Q3;7;60;65;1622;94;62;1,55;27,03;United States;Northern America;"John Wiley and Sons Inc.";"2019-2023";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Energy (miscellaneous) (Q3); Modeling and Simulation (Q3); Signal Processing (Q3)";"Computer Science; Energy; Engineering; Mathematics"
200;21101047452;"Journal of Soft Computing in Civil Engineering";journal;"25882872";0,439;Q3;15;28;84;1387;223;84;2,64;49,54;Iran;Middle East;"Pouyan Press";"2017-2024";"Architecture (Q1); Building and Construction (Q2); Civil and Structural Engineering (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science; Engineering"
201;19700175219;"Iranian Journal of Fuzzy Systems";journal;"17350654";0,433;Q3;37;70;232;2456;454;232;1,93;35,09;Iran;Middle East;"University of Sistan and Baluchestan";"2004-2023";"Information Systems and Management (Q2); Mathematics (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science; Decision Sciences; Mathematics"
202;21101092539;"Advances in Distributed Computing and Artificial Intelligence Journal";journal;"22552863";0,422;Q3;6;16;37;576;54;37;1,14;36,00;Spain;Western Europe;"University of Salamanca";"2019, 2021-2023";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3)";"Computer Science"
203;21101019334;"Journal of Business Analytics";journal;"2573234X, 25732358";0,420;Q3;9;18;36;1197;84;35;2,56;66,50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2023";"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
204;21100970247;"International Journal of Data and Network Science";journal;"25618148, 25618156";0,418;Q3;28;200;286;9519;1725;286;6,49;47,60;Canada;Northern America;"Growing Science";"2018-2023";"Communication (Q2); Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3); Software (Q3)";"Computer Science; Social Sciences"
205;23670;"Annals of Mathematics and Artificial Intelligence";journal;"15737470, 10122443";0,411;Q3;59;84;159;3255;222;147;1,35;38,75;Netherlands;Western Europe;"Springer Netherlands";"1990-2023";"Applied Mathematics (Q3); Artificial Intelligence (Q3)";"Computer Science; Mathematics"
206;24326;"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems";journal;"02184885, 17936411";0,411;Q3;65;67;195;2411;298;186;1,44;35,99;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2023";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3)";"Computer Science; Engineering"
207;24142;"Artificial Life";journal;"10645462, 15309185";0,406;Q3;63;28;75;1432;141;69;1,45;51,14;United States;Northern America;"MIT Press Journals";"1995, 1997-2023";"Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science"
208;12931;"Cybernetics and Systems";journal;"10876553, 01969722";0,390;Q3;47;145;198;5121;366;193;1,62;35,32;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2023";"Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3)";"Computer Science"
209;21100853738;"ROBOMECH Journal";journal;"21974225";0,385;Q3;19;30;87;745;149;87;1,54;24,83;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2023";"Mechanical Engineering (Q2); Artificial Intelligence (Q3); Control and Optimization (Q3); Instrumentation (Q3); Modeling and Simulation (Q3)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
210;23917;"Journal of Intelligent and Fuzzy Systems";journal;"18758967, 10641246";0,378;Q3;82;1492;3774;61660;7557;3757;2,02;41,33;Netherlands;Western Europe;"IOS Press BV";"1993-2023";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q3)";"Computer Science; Engineering; Mathematics"
