Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
33;21101020112;"Big Data and Cognitive Computing";journal;"25042289";0,820;Q2;33;183;279;9997;1607;278;5,60;54,63;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2023";"Artificial Intelligence (Q2); Computer Science Applications (Q2); Information Systems (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science"
34;21100200804;"ACM Transactions on Management Information Systems";journal;"21586578, 2158656X";0,815;Q2;38;37;105;2333;370;101;3,53;63,05;United States;Northern America;"Association for Computing Machinery (ACM)";"2010-2023";"Computer Science (miscellaneous) (Q1); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science"
35;4700152801;"Journal of International Consumer Marketing";journal;"08961530, 15287068";0,771;Q2;56;42;102;3292;461;100;4,25;78,38;United States;Northern America;"Routledge";"1988-1993, 1995-2023";"Management Information Systems (Q2); Marketing (Q2)";"Business, Management and Accounting"
36;19700181431;"Journal of Decision Systems";journal;"21167052, 12460125";0,746;Q2;33;51;149;3696;631;146;4,10;72,47;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2023";"Library and Information Sciences (Q1); Management Information Systems (Q2); Software (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
37;21101126970;"Logistics";journal;"23056290";0,740;Q2;23;100;207;6593;1066;205;4,97;65,93;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2023";"Information Systems and Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
38;23148;"IMA Journal of Management Mathematics";journal;"1471678X, 14716798";0,730;Q2;40;16;76;866;184;74;1,91;54,13;United Kingdom;Western Europe;"Oxford University Press";"1986, 1988-1989, 1991-1993, 1995-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Applied Mathematics (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
39;4700152908;"Knowledge Management Research and Practice";journal;"14778238, 14778246";0,728;Q2;52;104;170;7582;823;164;5,00;72,90;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2023";"Library and Information Sciences (Q1); Business and International Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
40;4900152206;"Data Base for Advances in Information Systems";journal;"23311622, 15320936";0,706;Q2;64;24;82;2027;218;75;2,75;84,46;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-2023";"Computer Networks and Communications (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science"
41;145295;"4OR";journal;"16142411, 16194500";0,661;Q2;46;52;76;1670;173;71;2,00;32,12;Germany;Western Europe;"";"2003-2023";"Computational Theory and Mathematics (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Theoretical Computer Science (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
42;21100450117;"International Journal of Information Systems and Project Management";journal;"21827788, 21827796";0,590;Q2;23;19;51;1072;174;48;3,06;56,42;Portugal;Western Europe;"SciKA";"2013-2023";"Information Systems and Management (Q2); Management Information Systems (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
43;144826;"Journal of Business Strategy";journal;"02756668";0,590;Q2;49;78;143;1288;389;135;3,25;16,51;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1980-2023";"Management Information Systems (Q2); Strategy and Management (Q2)";"Business, Management and Accounting"
44;6100153019;"Service Oriented Computing and Applications";journal;"18632386, 18632394";0,563;Q2;31;28;71;930;125;61;1,94;33,21;United Kingdom;Western Europe;"Springer London";"2007-2023";"Hardware and Architecture (Q2); Information Systems (Q2); Management Information Systems (Q2); Software (Q2)";"Business, Management and Accounting; Computer Science"
45;21100803571;"Digital Policy, Regulation and Governance";journal;"23985038";0,547;Q2;38;39;99;2696;303;92;2,46;69,13;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2023";"Computer Networks and Communications (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
46;15688;"Journal of Information Systems";journal;"08887985, 15587959";0,537;Q2;44;24;97;1845;266;95;2,48;76,88;United States;Northern America;"American Accounting Association";"1991, 2009-2023";"Accounting (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Human-Computer Interaction (Q3); Software (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
47;21100421900;"Information and Computer Security";journal;"20564961";0,527;Q2;57;43;116;2501;387;115;2,75;58,16;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2015-2023";"Computer Networks and Communications (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Software (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
48;21100886537;"Operations and Supply Chain Management";journal;"19793561, 25799363";0,518;Q2;18;42;119;2602;404;119;3,29;61,95;Indonesia;Asiatic Region;"Operations and Supply Chain Management Forum";"2018-2023";"Information Systems and Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences"
49;21101073717;"Pacific Asia Journal of the Association for Information Systems";journal;"19437536, 19437544";0,511;Q2;11;16;66;1587;199;64;2,78;99,19;United States;Northern America;"Association for Information Systems";"2019-2023";"Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Computer Science Applications (Q3); Human-Computer Interaction (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
50;12100154510;"International Journal of Enterprise Information Systems";journal;"15481115, 15481123";0,500;Q2;27;3;55;261;117;55;1,76;87,00;United States;Northern America;"IGI Publishing";"2005-2023";"Information Systems and Management (Q2); Management Information Systems (Q2); Computer Science Applications (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
51;21100899291;"Journal of Financial Reporting and Accounting";journal;"20425856, 19852517";0,488;Q2;21;168;167;13160;679;163;3,54;78,33;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003, 2007, 2009, 2017-2023";"Accounting (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
52;21101026986;"Production Engineering Archives";journal;"23537779, 23535156";0,453;Q2;19;52;124;1979;464;124;3,67;38,06;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2017-2023";"Industrial and Manufacturing Engineering (Q2); Management Information Systems (Q2); Safety, Risk, Reliability and Quality (Q2); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Engineering"
53;145328;"Team Performance Management";journal;"13527592";0,449;Q2;43;14;87;897;198;87;2,03;64,07;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1995-2023";"Management Information Systems (Q2); Management of Technology and Innovation (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting"
