Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
103;21101088828;"Monitoring and Analysis of Manufacturing Processes in Automotive Production";book series;"26293161";0,159;Q4;1;0;6;0;3;5;0,50;0,00;Germany;Western Europe;"RAM-Verlag";"2019, 2021-2022";"Automotive Engineering (Q4); Control and Systems Engineering (Q4); Industrial and Manufacturing Engineering (Q4); Mechanical Engineering (Q4)";"Engineering"
104;19700175603;"Advances in Military Technology";journal;"18022308";0,153;Q4;14;18;86;406;39;86;0,50;22,56;Czech Republic;Eastern Europe;"University of Defence";"2006-2023";"Aerospace Engineering (Q4); Automotive Engineering (Q4); Civil and Structural Engineering (Q4); Control and Systems Engineering (Q4); Mechanical Engineering (Q4)";"Engineering"
105;7500153107;"International Journal of Vehicle Noise and Vibration";journal;"14791471, 1479148X";0,145;Q4;21;8;45;209;33;45;0,45;26,13;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2023";"Automotive Engineering (Q4); Mechanical Engineering (Q4)";"Engineering"
106;21031;"Mechanics and Mechanical Engineering";journal;"14281511";0,145;Q4;17;0;21;0;10;21;0,21;0,00;Poland;Eastern Europe;"Wydawnictwo Politechniki Lodzkiej";"1997-2002, 2004-2013, 2015-2021";"Automotive Engineering (Q4); Materials Science (miscellaneous) (Q4); Mechanical Engineering (Q4); Mechanics of Materials (Q4)";"Engineering; Materials Science"
107;5700191221;"WIT Transactions on the Built Environment";journal;"17433509";0,145;Q4;29;0;413;0;201;391;0,53;0,00;United Kingdom;Western Europe;"WITPress";"1996, 2001-2015, 2017-2022";"Architecture (Q3); Arts and Humanities (miscellaneous) (Q3); Automotive Engineering (Q4); Building and Construction (Q4); Civil and Structural Engineering (Q4); Computer Science Applications (Q4); Safety Research (Q4); Safety, Risk, Reliability and Quality (Q4); Transportation (Q4)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
108;21101133424;"Ingenius";journal;"1390860X, 1390650X";0,135;Q4;5;22;66;562;25;60;0,32;25,55;Ecuador;Latin America;"Universidad Politecnica Salesiana";"2019-2023";"Aerospace Engineering (Q4); Automotive Engineering (Q4); Biomedical Engineering (Q4); Civil and Structural Engineering (Q4); Computational Mechanics (Q4); Computer Science (miscellaneous) (Q4); Engineering (miscellaneous) (Q4)";"Computer Science; Engineering"
109;21101101245;"Journal of Mechatronics, Electrical Power, and Vehicular Technology";journal;"20886985, 20873379";0,130;Q4;4;10;34;319;13;34;0,38;31,90;Indonesia;Asiatic Region;"National Research and Innovation Agency (BRIN)";"2019-2020, 2022-2023";"Artificial Intelligence (Q4); Automotive Engineering (Q4); Electrical and Electronic Engineering (Q4); Mechanical Engineering (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Computer Science; Energy; Engineering"
110;21101169011;"Tractors and Agricultural Machinery";journal;"2782425X, 03214443";0,126;Q4;3;50;156;683;9;155;0,06;13,66;Russian Federation;Eastern Europe;"Eco-Vector LLC";"2019-2023";"Agronomy and Crop Science (Q4); Automotive Engineering (Q4); Mechanical Engineering (Q4)";"Agricultural and Biological Sciences; Engineering"
111;21100828949;"Studies in Systems, Decision and Control";book series;"21984182, 21984190";0,116;Q4;37;1276;3702;30848;2920;2;0,86;24,18;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2024";"Automotive Engineering (Q4); Computer Science (miscellaneous) (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Decision Sciences (miscellaneous) (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Engineering; Mathematics; Social Sciences"
112;21101046136;"Actes (IFSTTAR)";conference and proceedings;"2115418X";0,112;-;2;0;113;0;8;109;0,15;0,00;France;Western Europe;"Driving Simulation Association";"2020-2021";"Automotive Engineering; Experimental and Cognitive Psychology; Human-Computer Interaction";"Computer Science; Engineering; Psychology"
113;21101066247;"SAE International Journal of Advances and Current Practices in Mobility";journal;"26419645";0,104;Q4;1;55;9;1253;0;9;0,00;22,78;United States;Northern America;"SAE International";"2019";"Artificial Intelligence (Q4); Automotive Engineering (Q4); Fuel Technology (Q4); Mechanical Engineering (Q4)";"Computer Science; Energy; Engineering"
114;5800179617;"International Journal of Vehicle Safety";journal;"14793105, 14793113";0,102;Q4;18;8;24;240;1;24;0,00;30,00;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2021, 2023";"Automotive Engineering (Q4)";"Engineering"
115;20256;"TR News";trade journal;"07386826";0,102;Q4;13;45;151;258;6;151;0,03;5,73;United States;Northern America;"US National Research Council";"1983-1989, 1996-2016, 2019-2022";"Automotive Engineering (Q4); Mechanical Engineering (Q4)";"Engineering"
116;20875;"Automotive Industries AI";journal;"10994130";0,101;Q4;5;14;103;0;2;21;0,02;0,00;United States;Northern America;"Diesel and Gas Turbine Publications";"1970-1987, 1994-1997, 1999-2019, 2021-2022";"Automotive Engineering (Q4)";"Engineering"
117;24542;"eb - Elektrische Bahnen";trade journal;"00135437";0,100;Q4;13;18;101;161;3;101;0,03;8,94;Germany;Western Europe;"Vulkan-Verlag GmbH";"1969-1988, 1995-2001, 2003-2019";"Automotive Engineering (Q4); Electrical and Electronic Engineering (Q4)";"Engineering"
118;21100241619;"IHS Jane's Defence Weekly";trade journal;"20483430";0,100;Q4;5;550;1305;0;6;602;0,00;0,00;United Kingdom;Western Europe;"IHS Global Ltd.";"2013, 2015-2023";"Aerospace Engineering (Q4); Automotive Engineering (Q4); Mechanical Engineering (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Engineering"
119;21101041971;"Energy, Environment, and Sustainability";book series;"25228374, 25228366";;-;26;98;495;5753;527;0;1,18;58,70;Germany;Western Europe;"Springer";"2018-2023";"Automotive Engineering; Environmental Engineering; Renewable Energy, Sustainability and the Environment";"Energy; Engineering; Environmental Science"
120;21101157914;"International Journal of Sustainable Aviation";journal;"20500467, 20500475";;-;1;20;0;716;0;0;0,00;35,80;United Kingdom;Western Europe;"Inderscience Publishers";"2023";"Automotive Engineering; Environmental Engineering; Mechanical Engineering";"Engineering; Environmental Science"
