Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
124;21101061831;"Grey Systems";journal;"20439385, 20439377";0,535;Q2;30;42;122;1733;366;120;3,10;41,26;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2023";"Applied Mathematics (Q2); Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering; Mathematics"
125;21101167539;"Guidance, Navigation and Control";journal;"27374807, 27374920";0,531;Q2;7;25;51;864;136;49;2,67;34,56;Singapore;Asiatic Region;"World Scientific";"2021-2023";"Aerospace Engineering (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Safety, Risk, Reliability and Quality (Q2)";"Engineering"
126;12360;"International Journal of General Systems";journal;"03081079, 15635104";0,528;Q2;54;50;115;2259;290;110;2,81;45,18;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2023";"Computer Science Applications (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Modeling and Simulation (Q2); Theoretical Computer Science (Q3)";"Computer Science; Engineering; Mathematics"
127;21100836581;"Actuators";journal;"20760825";0,517;Q2;33;470;840;19084;2391;838;2,68;40,60;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2012-2023";"Control and Optimization (Q2); Control and Systems Engineering (Q2)";"Engineering; Mathematics"
128;25566;"Zidonghua Xuebao/Acta Automatica Sinica";journal;"18741029, 02544156";0,499;Q2;74;177;668;8423;1759;668;2,36;47,59;China;Asiatic Region;"Science China Press";"1980, 1993-2023";"Computer Graphics and Computer-Aided Design (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Software (Q3)";"Computer Science; Engineering"
129;20500195078;"International Journal of Aeronautical and Space Sciences";journal;"20932480, 2093274X";0,491;Q2;27;156;301;5068;628;300;2,10;32,49;South Korea;Asiatic Region;"The Korean Society for Aeronautical &amp; Space Sciences";"2011-2023";"Aerospace Engineering (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Materials Science (miscellaneous) (Q2)";"Engineering; Materials Science"
130;23150;"IMA Journal of Mathematical Control and Information";journal;"02650754, 14716887";0,483;Q2;43;29;179;941;307;179;1,73;32,45;United Kingdom;Western Europe;"Oxford University Press";"1984-2023";"Applied Mathematics (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2)";"Engineering; Mathematics"
131;21101073600;"Transportation Safety and Environment";journal;"26316765, 26314428";0,480;Q2;16;46;102;1688;317;99;2,90;36,70;United Kingdom;Western Europe;"Oxford University Press";"2019-2023";"Control and Systems Engineering (Q2); Engineering (miscellaneous) (Q2); Safety, Risk, Reliability and Quality (Q2)";"Engineering"
132;11400153333;"Journal of Signal Processing Systems";journal;"19398115, 19398018";0,479;Q2;59;109;320;4449;579;300;2,04;40,82;United States;Northern America;"Springer New York";"2008-2023";"Control and Systems Engineering (Q2); Information Systems (Q2); Modeling and Simulation (Q2); Hardware and Architecture (Q3); Signal Processing (Q3); Theoretical Computer Science (Q3)";"Computer Science; Engineering; Mathematics"
133;21100838145;"Machines";journal;"20751702";0,474;Q2;34;1091;1703;44206;4533;1690;2,57;40,52;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2023";"Computer Science (miscellaneous) (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2)";"Computer Science; Engineering; Mathematics"
