Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
255;20952;"Journal of Computing and Information Science in Engineering";journal;"15309827";0,768;Q2;57;62;256;3394;852;249;3,18;54,74;United States;Northern America;"The American Society of Mechanical Engineers(ASME)";"2001-2024";"Industrial and Manufacturing Engineering (Q1); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Software (Q2)";"Computer Science; Engineering"
256;21100924250;"Digital Health";journal;"20552076";0,767;Q2;30;573;528;29839;1862;517;3,09;52,08;United States;Northern America;"SAGE Publications Inc.";"2015, 2018-2023";"Computer Science Applications (Q2); Health Informatics (Q2); Health Information Management (Q2); Health Policy (Q2)";"Computer Science; Health Professions; Medicine"
257;19124;"Queueing Systems";journal;"15729443, 02570130";0,762;Q2;58;36;227;1082;187;110;0,65;30,06;Netherlands;Western Europe;"Springer Netherlands";"1986-2023";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Statistics and Probability (Q2)";"Computer Science; Decision Sciences; Mathematics"
258;21100824892;"Law, Innovation and Technology";journal;"1757997X, 17579961";0,761;Q2;23;25;50;0;160;49;3,24;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2023";"Computer Science (miscellaneous) (Q1); Law (Q1); Artificial Intelligence (Q2); Biotechnology (Q2); Computer Science Applications (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Social Sciences"
259;21101017244;"Drones";journal;"2504446X";0,760;Q2;43;706;654;34917;3703;647;5,43;49,46;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2023";"Aerospace Engineering (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Information Systems (Q2)";"Computer Science; Engineering"
260;19900192734;"Advances and Applications in Bioinformatics and Chemistry";journal;"11786949";0,755;Q2;19;6;19;371;79;19;3,63;61,83;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2008-2023";"Chemistry (miscellaneous) (Q1); Biochemistry (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computer Science Applications (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science"
261;21101061989;"Data Intelligence";journal;"2641435X, 20967004";0,754;Q2;22;49;142;1933;431;128;1,80;39,45;United States;Northern America;"China National Publications Import and Export (Group) Corporation";"2019-2023";"Library and Information Sciences (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science; Social Sciences"
262;21101041933;"IET Collaborative Intelligent Manufacturing";journal;"25168398";0,754;Q2;14;23;85;1170;302;80;3,38;50,87;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2023";"Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2)";"Computer Science; Engineering"
263;21100894112;"Journal of Digital Learning in Teacher Education";journal;"21532974, 23327383";0,753;Q2;31;19;65;814;185;47;2,20;42,84;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2023";"Education (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
264;145056;"International Journal of Distance Education Technologies";journal;"15393100";0,751;Q2;24;7;44;321;194;44;6,26;45,86;United States;Northern America;"IGI Publishing";"2003-2023";"Education (Q1); Computer Networks and Communications (Q2); Computer Science Applications (Q2); E-learning (Q2)";"Computer Science; Social Sciences"
265;19700175286;"Evolving Systems";journal;"18686486, 18686478";0,746;Q2;35;112;178;5820;734;174;4,06;51,96;Germany;Western Europe;"";"2010-2023";"Computer Science Applications (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
266;21101062832;"Frontiers in Computer Science";journal;"26249898";0,746;Q2;21;177;354;9851;1100;324;2,76;55,66;Switzerland;Western Europe;"Frontiers Media SA";"2019-2023";"Computer Science (miscellaneous) (Q1); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Human-Computer Interaction (Q2)";"Computer Science"
267;88345;"Journal of Global Optimization";journal;"09255001, 15732916";0,743;Q2;96;149;374;5860;765;367;2,02;39,33;Netherlands;Western Europe;"Springer Netherlands";"1991-2023";"Applied Mathematics (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2); Control and Optimization (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
268;21100855984;"Advanced Modeling and Simulation in Engineering Sciences";journal;"22137467";0,741;Q2;24;17;98;983;334;98;2,25;57,82;United Kingdom;Western Europe;"SpringerOpen";"2014-2023";"Engineering (miscellaneous) (Q1); Applied Mathematics (Q2); Computer Science Applications (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
269;21101017225;"International Journal of Data Science and Analytics";journal;"2364415X, 23644168";0,739;Q2;31;140;149;7021;603;145;5,02;50,15;Switzerland;Western Europe;"Springer International Publishing";"2016-2023";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Information Systems (Q2); Modeling and Simulation (Q2)";"Computer Science; Mathematics"
270;21101083126;"ACM Transactions on Internet of Things";journal;"25776207";0,738;Q2;12;33;52;1953;181;51;4,60;59,18;United States;Northern America;"Association for Computing Machinery (ACM)";"2020-2023";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
271;15072;"Journal of Information Technology in Construction";journal;"18744753";0,733;Q2;58;38;140;2286;639;140;4,45;60,16;Sweden;Western Europe;"International Council for Research and Innovation in Building and Construction";"1995-2023";"Building and Construction (Q1); Civil and Structural Engineering (Q2); Computer Science Applications (Q2)";"Computer Science; Engineering"
272;21101145560;"Computer Methods and Programs in Biomedicine Update";journal;"26669900";0,731;Q2;12;38;78;1459;369;76;4,73;38,39;Netherlands;Western Europe;"Elsevier B.V.";"2021-2023";"Computer Science (miscellaneous) (Q1); Biomedical Engineering (Q2); Computer Science Applications (Q2); Medicine (miscellaneous) (Q2)";"Computer Science; Engineering; Medicine"
273;21100241218;"Astronomy and Computing";journal;"22131337";0,729;Q2;35;72;173;3498;399;173;1,98;48,58;Netherlands;Western Europe;"Elsevier B.V.";"2013-2023";"Astronomy and Astrophysics (Q2); Computer Science Applications (Q2); Space and Planetary Science (Q2)";"Computer Science; Earth and Planetary Sciences; Physics and Astronomy"
274;21100916532;"International Journal of Telerehabilitation";journal;"19452020";0,722;Q2;14;24;57;676;202;52;2,21;28,17;United States;Northern America;"University Library System, University of Pittsburgh";"2019-2023";"Rehabilitation (Q1); Computer Science Applications (Q2); Health Informatics (Q2); Health Information Management (Q2)";"Computer Science; Health Professions; Medicine"
275;57810;"Journal of Cultural Heritage";journal;"12962074";0,722;Q2;84;174;507;8957;2106;505;3,92;51,48;France;Western Europe;"Elsevier Masson s.r.l.";"2000-2023";"Anthropology (Q1); Archeology (arts and humanities) (Q1); Conservation (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Chemistry (miscellaneous) (Q2); Computer Science Applications (Q2); Materials Science (miscellaneous) (Q2); Spectroscopy (Q2)";"Arts and Humanities; Chemistry; Computer Science; Economics, Econometrics and Finance; Materials Science; Social Sciences"
276;21100398003;"International Journal of Information and Learning Technology";journal;"20564899, 20564880";0,721;Q2;38;39;88;1977;392;87;3,76;50,69;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2015-2023";"Education (Q1); Computer Networks and Communications (Q2); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
277;21101083109;"SN Computer Science";journal;"2662995X, 26618907";0,721;Q2;35;836;1191;32645;5228;1187;4,34;39,05;Germany;Western Europe;"Springer";"2020-2023";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2)";"Computer Science"
278;20966;"Journal of Manufacturing Science and Engineering";journal;"10871357, 15288935";0,719;Q2;113;87;474;4124;1704;473;2,79;47,40;United States;Northern America;"American Society of Mechanical Engineers (ASME)";"1960-2024";"Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Computer Science Applications (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
279;19713;"Journal of High Technology Management Research";journal;"10478310";0,715;Q2;55;29;36;1316;187;35;5,95;45,38;United Kingdom;Western Europe;"Elsevier B.V.";"1990-2023";"Computer Science Applications (Q2); Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
280;19700200912;"CALICO Journal";journal;"20569017";0,714;Q2;45;20;59;762;125;47;1,63;38,10;United States;Northern America;"Equinox Publishing Ltd";"1983-1996, 1998-2023";"Education (Q1); Linguistics and Language (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
281;35932;"International Journal of Imaging Systems and Technology";journal;"10981098, 08999457";0,706;Q2;57;148;408;6586;1838;405;4,55;44,50;United States;Northern America;"John Wiley and Sons Inc.";"1989-1992, 1994-2023";"Biomedical Engineering (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Health Informatics (Q2); Radiology, Nuclear Medicine and Imaging (Q2); Software (Q2)";"Computer Science; Engineering; Materials Science; Medicine"
282;21101022413;"International Journal of Information Technology (Singapore)";journal;"25112104, 25112112";0,705;Q2;34;443;808;15586;3820;791;4,80;35,18;Singapore;Asiatic Region;"Springer Science + Business Media";"2017-2023";"Applied Mathematics (Q2); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2)";"Computer Science; Engineering; Mathematics"
283;20428;"International Journal of Advanced Manufacturing Technology";journal;"02683768, 14333015";0,696;Q2;161;2226;5699;89329;21299;5694;3,41;40,13;United Kingdom;Western Europe;"Springer London";"1985-2023";"Computer Science Applications (Q2); Control and Systems Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2); Software (Q2)";"Computer Science; Engineering"
284;21101063730;"IET Smart Cities";journal;"26317680";0,695;Q2;16;24;75;1017;259;60;2,57;42,38;United Kingdom;Western Europe;"Institution of Engineering and Technology";"2019-2023";"Urban Studies (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Software (Q2)";"Computer Science; Engineering; Social Sciences"
285;19700180534;"Interdisciplinary Sciences - Computational Life Sciences";journal;"19132751, 18671462";0,694;Q2;33;48;187;2214;801;187;4,53;46,13;Germany;Western Europe;"Springer Verlag";"2009-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computer Science Applications (Q2); Health Informatics (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
286;21100894507;"Smart Health";journal;"23526483";0,694;Q2;20;43;148;2041;514;147;3,45;47,47;Netherlands;Western Europe;"Elsevier B.V.";"2017-2023";"Computer Science Applications (Q2); Health Informatics (Q2); Health Information Management (Q2); Information Systems (Q2); Medicine (miscellaneous) (Q2)";"Computer Science; Health Professions; Medicine"
287;21101048389;"CCF Transactions on Pervasive Computing and Interaction";journal;"25245228, 2524521X";0,690;Q2;13;27;85;1337;293;82;2,80;49,52;Germany;Western Europe;"Springer Verlag";"2019-2023";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Human-Computer Interaction (Q2)";"Computer Science"
288;21101023806;"Annals of Data Science";journal;"21985812, 21985804";0,682;Q2;27;114;165;4394;541;162;3,11;38,54;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2014-2023";"Artificial Intelligence (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2); Statistics, Probability and Uncertainty (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
289;25612;"International Journal of Computerized Dentistry";journal;"14634201";0,678;Q2;38;35;126;860;247;116;1,63;24,57;Germany;Western Europe;"Quintessenz Verlags-GmbH";"1998-2023";"Dentistry (miscellaneous) (Q1); Computer Science Applications (Q2); Medicine (miscellaneous) (Q2)";"Computer Science; Dentistry; Medicine"
290;21101077282;"Frontiers in Nanotechnology";journal;"26733013";0,677;Q2;21;59;226;3982;1073;214;4,27;67,49;Switzerland;Western Europe;"Frontiers Media SA";"2019-2023";"Atomic and Molecular Physics, and Optics (Q2); Biomedical Engineering (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2)";"Computer Science; Engineering; Materials Science; Physics and Astronomy"
291;21100195304;"Procesamiento del Lenguaje Natural";journal;"19897553, 11355948";0,677;Q2;22;55;122;1588;350;122;3,75;28,87;Spain;Western Europe;"Sociedad Espanola para el Procesamiento del Lenguaje Natural";"2011-2023";"Linguistics and Language (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
