Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
38;20608;"Journal of Global Information Management";journal;"10627375, 15337995";0,838;Q2;46;107;200;7370;1080;200;5,65;68,88;United States;Northern America;"IGI Publishing";"2002-2023";"Business and International Management (Q1); Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
39;21100996100;"International Journal of Population Data Science";journal;"23994908";0,809;Q2;16;55;159;1461;274;156;1,44;26,56;United Kingdom;Western Europe;"Swansea University";"2017-2023";"Demography (Q1); Health Informatics (Q2); Information Systems (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences; Medicine; Social Sciences"
40;21101126970;"Logistics";journal;"23056290";0,740;Q2;23;100;207;6593;1066;205;4,97;65,93;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2023";"Information Systems and Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
41;19713;"Journal of High Technology Management Research";journal;"10478310";0,715;Q2;55;29;36;1316;187;35;5,95;45,38;United Kingdom;Western Europe;"Elsevier B.V.";"1990-2023";"Computer Science Applications (Q2); Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
42;24437;"Data and Knowledge Engineering";journal;"0169023X";0,691;Q2;94;87;133;3843;479;124;3,99;44,17;Netherlands;Western Europe;"Elsevier B.V.";"1985, 1987-2023";"Information Systems and Management (Q2)";"Decision Sciences"
43;19900192334;"Journal of Applied Accounting Research";journal;"09675426";0,685;Q2;38;85;130;6755;679;128;5,17;79,47;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1999-2002, 2004-2006, 2008-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Information Systems and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
44;21100198497;"Quality Technology and Quantitative Management";journal;"16843703";0,676;Q2;27;66;112;2650;361;112;3,36;40,15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2023";"Business and International Management (Q2); Industrial Relations (Q2); Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences"
45;19200156938;"Transforming Government: People, Process and Policy";journal;"17506166";0,661;Q2;47;49;126;2511;538;121;3,74;51,24;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2007-2023";"Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Public Administration (Q2)";"Computer Science; Decision Sciences; Social Sciences"
46;11700154400;"TOP";journal;"11345764, 18638279";0,631;Q2;31;32;103;1161;192;91;1,90;36,28;Germany;Western Europe;"";"1993-1996, 2003, 2007-2023";"Discrete Mathematics and Combinatorics (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Decision Sciences; Mathematics"
47;17700156756;"Journal of Asset Management";journal;"14708272, 1479179X";0,619;Q2;23;47;132;1907;351;127;1,91;40,57;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2009-2023";"Business and International Management (Q2); Information Systems and Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
48;12909;"Systems Research and Behavioral Science";journal;"10991743, 10927026";0,614;Q2;57;84;231;5173;774;214;2,03;61,58;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1996-2023";"Social Sciences (miscellaneous) (Q1); Information Systems and Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
49;21100450117;"International Journal of Information Systems and Project Management";journal;"21827788, 21827796";0,590;Q2;23;19;51;1072;174;48;3,06;56,42;Portugal;Western Europe;"SciKA";"2013-2023";"Information Systems and Management (Q2); Management Information Systems (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
50;21100204505;"Australasian Journal of Information Systems";journal;"14498618, 13262238";0,582;Q2;29;20;108;1903;333;105;3,10;95,15;Australia;Pacific Region;"UQ Business School, The University of Queensland";"2007, 2009-2023";"Business, Management and Accounting (miscellaneous) (Q2); Information Systems (Q2); Information Systems and Management (Q2); Human-Computer Interaction (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
51;21100803571;"Digital Policy, Regulation and Governance";journal;"23985038";0,547;Q2;38;39;99;2696;303;92;2,46;69,13;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2023";"Computer Networks and Communications (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
52;19700187807;"Information Security Journal";journal;"19393555, 19393547";0,546;Q2;32;37;93;1886;310;93;2,85;50,97;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2023";"Computer Science Applications (Q2); Information Systems and Management (Q2); Software (Q3)";"Computer Science; Decision Sciences"
53;19700186884;"Journal of Data and Information Quality";journal;"19361963, 19361955";0,545;Q2;29;38;75;2154;201;73;2,41;56,68;United States;Northern America;"Association for Computing Machinery (ACM)";"2009-2023";"Information Systems (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences"
