Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
23;20670;"Journal of Organizational Change Management";journal;"09534814";0,698;Q2;83;74;234;5558;920;227;3,87;75,11;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1988-2023";"Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
24;21101142603;"Social Sciences and Humanities Open";journal;"25902911";0,691;Q2;25;374;351;21297;1412;348;3,79;56,94;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2023";"Social Sciences (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Psychology (miscellaneous) (Q2)";"Decision Sciences; Psychology; Social Sciences"
25;21101098756;"Decision Analytics Journal";journal;"27726622";0,680;Q2;14;207;42;13356;283;41;6,74;64,52;United States;Northern America;"Elsevier Inc.";"2021-2023";"Analysis (Q2); Applied Mathematics (Q2); Decision Sciences (miscellaneous) (Q2); Modeling and Simulation (Q2)";"Decision Sciences; Mathematics"
26;19318;"Group Decision and Negotiation";journal;"09262644, 15729907";0,656;Q2;69;60;152;3340;509;145;3,61;55,67;Netherlands;Western Europe;"Springer Netherlands";"1992-2023";"Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)";"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Social Sciences"
27;21100438074;"Journal of Modelling in Management";journal;"17465672, 17465664";0,619;Q2;40;81;187;5437;695;184;3,55;67,12;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2006-2023";"Decision Sciences (miscellaneous) (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
28;19900192134;"Decision Sciences Journal of Innovative Education";journal;"15404609, 15404595";0,583;Q2;28;18;64;679;139;61;1,24;37,72;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2011-2023";"Business, Management and Accounting (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q2); Education (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
29;20500195024;"Journal of Quantitative Analysis in Sports";journal;"21946388, 15590410";0,563;Q2;23;24;66;776;106;65;1,24;32,33;Germany;Western Europe;"Walter de Gruyter GmbH";"2011-2023";"Social Sciences (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2)";"Decision Sciences; Social Sciences"
30;21101122877;"Forecasting";journal;"25719394";0,532;Q2;15;36;141;2000;465;135;3,24;55,56;Switzerland;Western Europe;"";"2019-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Decision Sciences (miscellaneous) (Q2)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance"
31;145592;"Computational and Mathematical Organization Theory";journal;"1381298X";0,530;Q2;34;28;57;1163;146;56;2,53;41,54;Netherlands;Western Europe;"Kluwer Academic Publishers";"1995, 2005-2023";"Applied Mathematics (Q2); Computational Mathematics (Q2); Computer Science (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q2); Modeling and Simulation (Q2)";"Computer Science; Decision Sciences; Mathematics"
32;26941;"Theory and Decision";journal;"15737187, 00405833";0,499;Q2;46;73;155;2605;160;150;1,18;35,68;Netherlands;Western Europe;"Springer Netherlands";"1970-2023";"Arts and Humanities (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Computer Science Applications (Q3); Developmental and Educational Psychology (Q3)";"Arts and Humanities; Computer Science; Decision Sciences; Economics, Econometrics and Finance; Psychology; Social Sciences"
33;21100264009;"Journal of Multi-Criteria Decision Analysis";journal;"10579214, 10991360";0,467;Q3;54;13;80;968;200;76;2,34;74,46;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1992-2003, 2005-2006, 2008-2023";"Strategy and Management (Q2); Decision Sciences (miscellaneous) (Q3)";"Business, Management and Accounting; Decision Sciences"
34;21100901158;"EURO Journal on Decision Processes";journal;"21939446, 21939438";0,450;Q3;19;13;28;759;78;28;3,47;58,38;Germany;Western Europe;"Elsevier B.V.";"2013-2023";"Applied Mathematics (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computational Mathematics (Q3); Decision Sciences (miscellaneous) (Q3); Statistics and Probability (Q3)";"Business, Management and Accounting; Decision Sciences; Mathematics"
35;19900193531;"Advances in Decision Sciences";journal;"20903367, 20903359";0,417;Q3;20;30;75;1565;278;75;4,94;52,17;Taiwan;Asiatic Region;"Asia University";"2010-2023";"Information Systems and Management (Q2); Decision Sciences (miscellaneous) (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences"
